text,embedding,distances
" – There were at least 50,096 deaths and 107,204 injured across 11 provinces of Turkey. At least 13.5 million people and 4 million buildings were affected. About 345,000 apartments were destroyed. Thousands were trapped under rubble when buildings collapsed. Many people were missing in collapsed buildings. Survivors trapped under rubble livestreamed their pleas for help on social media.By 23 February 2023, the Ministry of Environment, Urbanization and Climate Change conducted damage inspections for 1.25 million buildings; revealing 164,000 buildings were either destroyed or severely damaged. A further 150,000 commercial infrastructure were at least moderately damaged. The International Organization for Migration estimated about 2.7 million people were made homeless. A damage assessment by the Turkish government revealed at least 61,722 buildings had to be demolished including 11,900 in Gaziantep Province, 10,900 in Hatay Province, 10,800 in Kahramanmaraş Province and 28,914 in Malatya Province. Broad fissures appeared on roads. During recovery efforts, body parts were often found in the rubble.In Adana, 12 buildings collapsed in the city center, 23 were badly damaged and 120 were moderately damaged. Three apartments were among the buildings that collapsed in the city. Across Adana Province, damage assessments revealed 59 buildings and 1,274 apartments were destroyed or required demolition.At least 300 buildings were razed in Malatya. Sixty percent of the city's buildings received damage. Nearly every neighborhood of the city was affected by collapsed buildings. Two hotels collapsed in the city, causing many casualties. The ceiling of Malatya Erhaç Airport experienced a partial collapse, as did the historic Yeni Camii mosque. Damage was also reported at the Arslantepe Mound. In Akçadağ, 11 people died, including four attributed to the second earthquake. At least 263 deaths were reported in Doğanşehir.In Gaziantep, many of the historical sites were severely damaged, such as Gaziantep Castle, Şirvani Mosque and Liberation Mosque. In Nurdağı, nearly 2,500 people died and nearly 50 percent of the town was badly damaged or destroyed. An additional 30 percent of its building stock received moderate damage. Mass graves were created to bury the overwhelming number of dead. Gaziantep Oğuzeli Airport was forced to restrict its service to rescue flights. Ninety percent of houses were heavily damaged or destroyed in Sakçagözü, and 256 people died. In İslahiye, there were 1,368 deaths, over 1,500 injuries and more than 200 destroyed apartments. There were also over 130 deaths in Sulumağara, 200 deaths in Altınüzüm, and between 300 and 400 fatalities in Keküklü.In Hatay Province, at least 55,589 buildings were partially or totally destroyed. In Antakya about 3,100 buildings were destroyed, and up to 80 percent of the city's buildings required demolition. The districts of Kırıkhan and İskenderun were razed. Collapse of the luxury Rönesans Rezidans apartment trapped an estimated 800 people, and killed an unknown number. The runway of Hatay Airport was split and uplifted, causing flight cancellations. By 12 February, the Ankara Metropolitan Municipality completed repairs on the airport, allowing its reopening. Two provincial hospitals and a police station were destroyed, and a gas pipeline exploded. The building that housed the assembly of Hatay State was destroyed, as was St. Paul's Church and the Habib'i Neccar Mosque, while damage was reported at the Antakya Synagogue and the Hatay Archaeology Museum. Several dozen buildings in Güzelburç district and nearly every house in the central and Cebrail districts collapsed. Most of the squad and coaching staff of the local football club Hatayspor were initially trapped in the collapse of their headquarters in Antakya before being rescued, with player Christian Atsu and sporting director Taner Savut dying.","[-0.01285268 -0.01271077  0.00203906 ...  0.00817652 -0.01493397
 -0.03503064]",0.1427710455526373
" – Jolivet, Romain; Jolivet, Laurent (10 February 2023). ""Why have so many earthquakes hit Turkey and Syria?"". The Conversation. Retrieved 17 February 2023.","[-0.01171285 -0.02677223  0.00699667 ...  0.02044351  0.00325882
 -0.03079346]",0.14310744619888283
" – At least 7,259 people died and over 14,500 were injured in Syria. Among the dead included 2,153 children and 1,524 women. The Syrian Ministry of Health recorded over 2,248 earthquake-related deaths and 2,950 injuries in government held areas, most of which were in the governorates of Aleppo and Latakia. In rebel-held areas, at least 4,547 people died and 2,200 others were injured. The Syrian Network for Human Rights stated 73 medics, five media personnel, 62 workers in humanitarian agencies, and four civil defense personnel were among the dead. The Syrian Observatory for Human Rights said additional dead were buried before being registered and some victims died in hospitals.An estimated 5.37 million people across Syria may have been made homeless, while 10.9 million people, nearly half of Syria's population, were affected. More than 123 residential areas, villages, towns and cities were badly damaged. Many power plants, water facilities, hospitals and public infrastructure also sustained damage. At least 453 schools were damaged.Hundreds were killed in the towns of Jindires and Atarib. A total of 805 people died and 1,131 were injured in Latakia Governorate. One hundred and five buildings collapsed and 900 had total damage. In Jableh, at least 283 people died, 173 were injured and 19 buildings collapsed. Four bodies were recovered and 15 bodies were in the process of recovery during debris clearance on 10 February. On 11 February, six bodies were retrieved from the rubble of a collapsed house along al-Maliyeh Street. Civilians were stuck under the rubble for hours due to the lack of rescue teams in several villages such as Atarib, Besnia, Jindires, Maland, Salqin and Sarmada. In Latakia Governorate, 142,000 people were affected; at least 805 people died and 1,131 others were injured. The region's governor said 103 buildings were destroyed and 247 were at risk of collapse. At Tishreen University, 10 students, 3 employees and a professor died. At least 48 people were killed in Hama—an eight-story building collapsed, killing 43, injuring 75 and trapping 125 others.The Associated Press, citing local residents, said the Afrin Dam had cracked. On 9 February at 04:00, the dam burst and flooded the village of Al-Tloul, which was exacerbated by heavy rains along the Afrin River basin. Nearly all its residents fled; about 500 families were displaced. According to Reuters, citing local residents, between 35 and 40 people died and most buildings in Al-Tloul were damaged or destroyed by the earthquake. In Atarib, 148 bodies arrived at an underground hospital. A doctor at the hospital said some bodies were missing their head or limbs. Various archaeological sites in Tartus Governorate were damaged, including the Margat Castle, Khawabi Castle and Aleika Castle, which partially collapsed. Damage to historical towers and infrastructure were also reported in Tartous and Safita.The president of the Syrian American Medical Society, Amjad Rass, said emergency rooms were packed with injured. In Idlib Governorate, one hospital received 30 bodies. In the village of Azmarin, Idlib Governorate, at least 260 people died, including 51 members of one family; at least 300 were injured and 100 were rescued. Fifteen buildings in the village were leveled and about 50 percent of its housing stock had cracks. Footballer Nader Joukhadar, who played for the national team, was killed alongside his son when their home collapsed in Jableh.","[-0.00387525  0.01977623 -0.01032505 ... -0.00156203 -0.01524558
 -0.02844766]",0.14336417593448392
" – Schmitt, R.; Herman, M.; Barnhart, W.; Furlong, K.; Benz, H. (22 February 2023). ""The 2023 Kahramanmaraş, Turkey, Earthquake Sequence"". USGS.","[-0.01618484 -0.02177424 -0.0136886  ...  0.004538    0.00614563
 -0.00120827]",0.14660303185797552
" – The Mw 7.8 earthquake is the largest in Turkey since the 1939 Erzincan earthquake of the same magnitude, and jointly the second-strongest recorded in the history of the country, after the 1668 North Anatolia earthquake. It is also one of the strongest earthquakes ever recorded in the Levant. It was felt as far as Egypt and the Black Sea coast of Turkey. There were more than 10,000 aftershocks in the three weeks that followed. The seismic sequence was the result of shallow strike-slip faulting.","[-0.00437287 -0.02579004 -0.00748319 ...  0.00948879  0.00082402
 -0.03608765]",0.14667349054265466
" – In the morning of 7 February, Turkey accused the People's Defense Units of having overseen an MRL attack on its border checkpoint, and that the Turkish army has responded with further attacks. The Kurdish Red Crescent and Kamal Sido from the Society for Threatened Peoples later accused Turkey of airstrikes against the Kurdish population around Tell Rifaat also after the earthquake. Sido demanded from Turkey to open the borders to Syria for humanitarian aid just as they were open for Islamists.The Kurdistan Workers' Party (PKK) declared a ceasefire in its conflict with Turkey. Co-founder of the PKK, Cemîl Bayik, said ""thousands of our people are under the rubble"" and pushed for the focus on recovery efforts. He requested for all groups engaged to stop military actions and added that the PKK would not be engaged ""as long as the Turkish state does not attack"".On 9 February, three inmates were killed and 12 more injured after soldiers opened fire during a prison riot in Hatay. The prisoners were demanding to see their families affected by the earthquake.On 11 February, German and Austrian rescuers deployed to Hatay suspended operations, citing a worsening security situation due to the slow arrival of aid or sporadic clashes between armed groups. The teams later resumed operations when the Turkish Land Forces provided protection. On 12 February, rescuers from the Israeli search-and-rescue group United Hatzalah left Turkey, citing ""intelligence of a concrete and immediate threat on the Israeli delegation"".On 17 February, a Syrian family of seven, including five children, were killed during a fire that struck a home in Nurdağı, Turkey, in which they moved to after surviving the earthquake. Seven other people were injured during the fire. A natural gas explosion at a building in Şanlıurfa on 20 February killed two, left five injured and damaged businesses. Şanlıurfa's governor, Salih Ayhan, said due to the earthquakes, gas supply to the city was cut and an investigation was ongoing. A bus ferrying earthquake survivors from Hatay to Konya collided with a truck on the Tarsus-Adana-Gaziantep Motorway on 23 February, killing two and injuring six.","[-0.01742784 -0.01174934  0.00271364 ...  0.00999417 -0.0030922
 -0.0152528 ]",0.1473819476539986
" – Çetin, Kemal Önder; Ilgaç, Makbule; Can, Gizem; Çakır, Elife, eds. (20 February 2023). Preliminary Reconnaissance Report on February 6, 2023, Pazarcık Mw=7.7 and Elbistan Mw=7.6, Kahramanmaraş-Türkiye Earthquakes (PDF) (Report). Middle East Technical University. Retrieved 1 March 2023.","[-0.01103264 -0.02249279 -0.00748151 ...  0.01121192  0.01241172
 -0.01631452]",0.14745628991373216
" – The extent of surface ruptures associated with the M7.8 and M7.7 earthquakes have been mapped using a mixture of satellite imagery and ground observations. Pixel matching on images captured by Sentinel-1 before and after the earthquakes showed sharp discontinuities in displacement, revealing two separate zones of surface rupture. The longer of the pair, produced by the first earthquake, measured 300 km (190 mi) while the second earthquake produced 125 km (78 mi) of surface rupture. These observations were backed up with direct imaging of the ruptures using other satellite data, such as from the DigitalGlobe's WorldView-1, 2 & 3 and GeoEye-1, and by field work.The zone of surface rupture extended from north of Antakya, Hatay Province towards Pazarcık, Kahramanmaraş Province and Gölbaşı, Adıyaman Province. Surface ruptures continued north of these cities. Surface rupture occurred in the Amik Valley. The westernmost part of Hatay Airport was damaged by surface ruptures but cracks in the runway were attributed to ground deformation. A major canal was damaged and lead to flooding in parts of the Amik Valley which was formerly Lake Amik. Field observations indicate a maximum displacement of 7.3 m (24 ft) on the surface. Geologists traced a 15 km (9.3 mi) surface rupture trending south from Pazarcık with an offset of 2.5 m (8 ft 2 in). From Golbasi to Nurdağı ground displacements were up to 5 m (16 ft).The surface rupture observed during the M7.8 earthquake was unusually large, comparable to that during the 1906 San Francisco earthquake along the San Andreas Fault.","[-0.00597466 -0.01816243  0.01684931 ...  0.00597466 -0.02619315
 -0.02486622]",0.15099188628369975
" – A source model for the Mww 7.8 earthquake produced by the USGS from observed seismic waves, taking into account preliminary rupture mapping from satellite data, uses three fault segments with individual lengths, widths, strikes and dips of >40 km (25 mi) × 30 km (19 mi), 028°/85° (Segment 1), >175 km (109 mi) × 30 km (19 mi), 060°/85° (Segment 2) and >160 km (99 mi) × 20 km (12 mi), 025°/75° (Segment 3). The mainshock produced a maximum slip of 11.2 m (37 ft) along Segment 2, beneath Sakarya in Kahramanmaraş Province, northeast of the junction where it meets Segment 1. Another zone of large slip estimated at 4.96 m (16.3 ft) occurred further northeast along Segment 2, northwest of Adıyaman.The USGS source model for the Mw 7.7 earthquake which struck nine hours later has three large fault segments with individual lengths, widths, strikes and dips of >70 km (43 mi) × >20 km (12 mi), 276°/80° (Segment 1), >40 km (25 mi) × >20 km (12 mi), 250°/80° (Segment 2) and ~80 km (50 mi) × >20 km (12 mi), 060°/80° (Segment 3). Maximum displacement occurred on Segment 1 at 11.4 m (37 ft).Preliminary analysis of the effects of stress changes caused by the M7.8 earthquake on the Çardak–Sürgü Fault, based on the USGS fault model, indicated up to 3 bars of added stress near the epicenter of the M7.7 shock, sufficient to trigger rupture on that zone, assuming that is was already close to failure.","[ 0.00288748 -0.00010356 -0.00479118 ...  0.00934072 -0.01962035
 -0.02760104]",0.15162629134133077
" – Taftsoglou, Maria; Valkaniotis, Sotiris; Karantanellis, Efstratios; Goula, Evmorfia; Papathanassiou, George (23 February 2023). Preliminary mapping of liquefaction phenomena triggered by the February 6 2023 M7.7 earthquake, Türkiye / Syria, based on remote sensing data (Report). doi:10.5281/zenodo.7668401.","[-0.0162553  -0.01570334 -0.01472361 ... -0.00339975  0.00550238
 -0.01967747]",0.15214663600910316
" – Syrian media reported a large number of buildings collapsing in the northern Aleppo Governorate, as well as several in the city of Hama. In Damascus, many people fled from their homes onto the streets. Syria's National Earthquake Centre said the earthquake is ""the biggest earthquake recorded"" in its operational history. According to SANA, the state news agency, President Bashar al-Assad held an emergency meeting with his cabinet to organize a rescue plan for the most hit regions. Following orders from President al-Assad, all teams of the civil defense, firefighting, health, and public construction groups were mobilized to Aleppo.The Syrian government appealed to UN member states, the International Committee of the Red Cross, and other humanitarian organizations for international aid. Syria also requested for aid from the European Union's European Civil Protection Mechanism, according to commissioner Janez Lenarčič. The Syrian government, through its representative in the United Nations, said that it should be responsible for aid distribution in all areas of the country, including those held by the rebels. The UK government said it would deliver aid through its long-term partners, the White Helmets civilian defense force. The US State Department said it would use its humanitarian partners on the ground.The United Nations Office for the Coordination of Humanitarian Affairs said damaged roads and logistical issues prevented the mobilization of international aid across the border from Turkey. Border crossings into Turkey remained closed on 7 February. Critically injured patients were unable to enter Turkey for medical attention. There were exceptions as to which persons could cross, including individuals holding touristic residence permits who could only cross by foot. The Bab al-Hawa Border Crossing was made accessible on 8 February, according to the UN.Some hotels including in Latakia and Damascus offered to accommodate to survivors free of charge and ensure basic necessities. Refugees and expatriates also opened their homes as shelters for people. Al-Sham Private University started an effort to receive people. Sports facilities, events venues, university dormitories and halls were also opened to take in people. The Syria Trust for Development announced the establishment of shelters across many governorates. Volunteer groups inspected buildings for damage and distributed food items, blankets, and first aid essentials.","[-0.0102623   0.01229066 -0.01617334 ... -0.00806659 -0.01615995
 -0.02061833]",0.15245642745606935
" – The government said it would pay compensation to those who have lost their homes. President Erdoğan said ₺15,000 in relocation assistance per household would be given to those whose homes were moderate, heavy or total destruction. Rent assistance of up to ₺5,000 would be given to homeowners and ₺2,000 to tenants.On 9 February, after touring the city of Gaziantep, Erdoğan promised to rebuild destroyed homes of survivors within one year. He also said the government is working on temporary accommodation for those made homeless. That same day, force majeure was imposed in the affected region and tax obligations between 6 February and 31 July 2023, were postponed until 31 July 2023.On 10 February, while touring Adıyaman Province, President Erdoğan reiterated the promise to rebuild all homes within one year, and added that the government will subsidize rents for those unwilling to stay in tents. He later added that more than 141,000 rescue personnel, including foreign teams, were working in the 10 affected provinces, that 100 billion lira (US$5.3 billion) were allocated to the disaster response. On 22 February, the Turkish government announced it plans to construct 200,000 homes in the cities of the 11 affected provinces and a further 70,000 in villages.Over 1.9 million people were rehoused in dormitories, guest houses, tents, hotels and containers. AFAD issued a statement on 16 February, detailing that 387,000 tents had been established in the affected area by local and international organizations. President Erdoğan said 890,000 survivors were placed in dormitories and 50,000 in hotels. He added that 1.6 million people had access to shelter. Across the affected region, 162 container cities were established. The Governor of Şırnak, Osman Bilgin, said the district would be demolished and reconstructed.","[-0.00943043 -0.01653318 -0.00587905 ... -0.00037887 -0.00682343
 -0.02934206]",0.15315142912313962
" – Later that day at 10:24 UTC, an earthquake measuring Mww 7.5 according to USGS, Mw 7.6 according to KOERI, or Mw 7.7 according to Geoscope and the GCMT, struck with an epicenter near Ekinözü, 95 km northeast of the M7.8 event. It had a depth of 15 km (9 mi) according to the USGS, 5 km (3 mi) by KOERI, and 13 km (8 mi) by Geoscope.According to Kandilli Observatory, the maximum MMI of the mainshock was estimated to have reached MMI XI–XII (Extreme) in Antakya. The MMI also reached IX–X (Violent–Extreme) in Kahramanmaraş and İskenderun, VIII–IX (Severe–Violent) in Malatya and Adıyaman, VII–VIII (Very strong–Severe) in Gaziantep, Kilis, Idlib and Aleppo, and VI–VII (Strong–Very strong) in Adana and Şanlıurfa. The maximum MMI of the second earthquake was X (Extreme).","[-0.00582395 -0.0067734  -0.00794644 ...  0.00265053 -0.00561067
 -0.03547348]",0.15447931407147342
 – UN (16 February 2023). Türkiye: 2023 Earthquakes Situation Report No.1 (PDF) (Report). OHCA.,"[-0.01287192 -0.03199158 -0.00945086 ...  0.01950932  0.03085563
 -0.01585049]",0.15455997458964288
